Ano de Edição,Colaborador,Editora,ISBN,Ano,Edição,Origem,Formato,Encadernação,Idioma,País,Páginas,preço,nome,categoria
2007.0,"Organizador:PINSKY, JAIME|Autor:VARIOS AUTORES",CONTEXTO,8572443533,2007.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,256.0,49.9,O BRASIL NO CONTEXTO (1987 - 2007),História
2010.0,"Autor:RAMOS, FABIO PESTANA|Autor:MORAIS, MARCUS VINICIUS DE",CONTEXTO,8572444599,2010.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,272.0,79.9,ELES FORMARAM O BRASIL,História
2016.0,"Autor:GUIMARAES, PAULO",CONTEXTO,857244968X,2016.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,240.0,49.9,OS ESCANDINAVOS,História
2012.0,"Prefácio/Posfácio:JONES, TERRY|Autor:WATERSON, JAMES|Tradutor:FERREIRA, GIANCARLO SOARES",MADRAS,8537007609,2012.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,256.0,36.9,ESPADAS SACRAS,História
2020.0,"Autor:BEARD, MARY",CRÍTICA,6555352167,2020.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,576.0,86.9,SPQR,História
2021.0,"Autor:ORWELL, GEORGE",BIBLIOTECA AZUL,655830032X,2021.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,392.0,44.9,LUTANDO NA ESPANHA,História
2021.0,"Autor:DOLOT, MIRON",VIDE EDITORIAL,6587138292,2021.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,336.0,69.9,HOLODOMOR: O HOLOCAUSTO ESQUECIDO,História
2014.0,"Autor:HASTINGS, MAX|Tradutor:VARGAS, BERILO",INTRINSECA,8580575052,2014.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,704.0,79.9,CATÁSTROFE,História
2011.0,"Autor:BUENO, EDUARDO",LEYA,8562936634,2011.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,150.0,103.0,KIT BRASIL - É MUITA HISTÓRIA,História
1979.0,"Autor:MANDROU, ROBERT",PERSPECTIVA -,8527305089,1979.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,458.0,94.9,MAGISTRADOS E FEITIÇEIROS NA FRANÇA DO SÉCULO XVII,História
