Editora,ISBN,Ano,Edição,Origem,Encadernação,Idioma,País,Páginas,preço,nome,categoria,Autores
GUTENBERG AUTENTICA,8582356137,2019,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,424,33.31,FAZENDO MEU FILME 3 - O ROTEIRO INESPERADO DE FANI,TEEN,PAULA PIMENTA
PERSPECTIVA,8527305852,1990,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,160,39.9,O TROTSKISMO,HISTÓRIA,JEAN-JACQUES MARIE
PERSPECTIVA,8527305844,1995,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,132,39.9,WEIMAR,HISTÓRIA,CLAUDE KLEIN
LEYA,8544100112,2015,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,461,57.0,JOSEFINA,HISTÓRIA,KATE WILLIAMS
EDITORA OLHARES,8562114030,2009,1,NACIONAL,CAPA DURA,PORTUGUÊS,BRASIL,180,72.0,FACES DA MOEDA,HISTÓRIA,BEATRIZ FLORENZANO; MAURICIO BARROS DE CASTRO; SALVADOR WERNECK VIANNA
LEYA,8580448980,2013,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,352,52.0,GUERRAS SANTAS,HISTÓRIA,PHILIP JENKINS
CONTEXTO,8572449329,2016,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,192,45.0,OS LIBANESES,HISTÓRIA,MURILO MEIHY
PERSPECTIVA,8527304848,1984,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,278,59.9,"HISTÓRIA, CORPO DO TEMPO",HISTÓRIA,JOSE HONORIO RODRIGUES
PERSPECTIVA,8527302381,2010,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,280,69.9,"NORBERT ELIAS, A POLITICA E A HISTORIA",HISTÓRIA,ALAIN GARRIGOU; BERNARD LACROIX
CONTEXTO,8572449795,2016,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,176,35.9,HISTÓRIA DO BRASIL REPÚBLICA,HISTÓRIA,MARCOS NAPOLITANO
